[2025-01-22T13:37:20.169681+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: 70100: SQLSTATE[70100]: <<Unknown error>>: 1927 Connection was killed. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238007+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238076+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238119+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238160+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238454+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238504+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238541+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238573+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238602+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238630+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238658+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238693+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238730+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238763+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238790+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238817+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:20.238849+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:20) [] []
[2025-01-22T13:37:30.318741+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:30) [] []
[2025-01-22T13:37:30.318831+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:30) [] []
[2025-01-22T13:37:30.318865+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:30) [] []
[2025-01-22T13:37:30.318894+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:30) [] []
[2025-01-22T13:37:40.410689+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.410876+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.410946+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.410997+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411046+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411094+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411142+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411190+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411681+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411741+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411791+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411839+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411886+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411933+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411979+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.412025+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.412072+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.412119+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:50.472397+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:50) [] []
[2025-01-22T13:38:00.531066+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531186+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
